microsample	richness	neutral	phylogenetic	section	type	batch	cryosection	buffer	Xcoord	Ycoord	size	protocol
M300554	252	59.048724097340326	4.005425557472137	Caecum right	Positive	MSEB0006	G121eI101B	B11	74953.32504	27445.67052	4976	full_ulv2
M300555	234	29.591689486057412	3.136402063723101	Caecum right	NegativeMebrane	MSEB0006	G121eI101M	B11	72020.27964	33695.1438	4976	full_ulv2
M300556	242	52.377340522357805	3.862228011755678	Caecum right	Positive	MSEB0006	G121eI101B	B11	75415.38696	27819.35016	4976	full_ulv2
M300557	252	60.8803768440018	3.919625407044125	Caecum right	Positive	MSEB0006	G121eI101B	B11	76113.47694	28351.84868	4976	full_ulv2
M300558	147	16.388623036398783	3.0843638756137803	Caecum right	NegativeCollection	MSEB0006	G121eI101Z	B11	NA	NA	NA	full_ulv2
M300559	252	59.60227800887534	4.019171768036246	Caecum right	Positive	MSEB0006	G121eI101B	B11	76849.22832	29025.0501	4976	full_ulv2
M300560	252	58.64528671605175	4.181970992669254	Caecum right	Positive	MSEB0006	G121eI101B	B11	75971.70494	29352.8578	4976	full_ulv2
M300561	252	57.105278244694965	4.190660611752367	Caecum right	Positive	MSEB0006	G121eI101B	B11	76680.93738	29558.1605	4976	full_ulv2
M300562	252	60.37874109931397	4.115130466778564	Caecum right	Positive	MSEB0006	G121eI101B	B11	74883.31786	29170.1824	5140	full_ulv2
M300563	252	59.64529400437834	4.07259218603542	Caecum right	Positive	MSEB0006	G121eI101B	B11	75220.99184	29120.50912	5140	full_ulv2
M300564	246	52.89097016067235	4.203352679695616	Caecum right	Positive	MSEB0006	G121eI101B	B11	75894.6174	29134.85928	5140	full_ulv2
M300565	48	13.11352419750196	4.215439861770901	Caecum right	NegativeMebrane	MSEB0006	G121eI101M	B11	72986.8124	36482.19968	5140	full_ulv2
M300566	251	58.16489767059718	3.8826964913681974	Caecum right	Positive	MSEB0006	G121eI101B	B11	76922.54096	29224.44992	5140	full_ulv2
M300567	252	57.81086881112884	4.124295032673534	Caecum right	Positive	MSEB0006	G121eI101B	B11	77492.20334	29097.77932	5140	full_ulv2
M300568	40	10.63801983473877	2.6358674819334262	Caecum right	NegativeCollection	MSEB0006	G121eI101Z	B11	NA	NA	NA	full_ulv2
M300569	252	60.74511911828587	4.1968337568954786	Caecum right	Positive	MSEB0006	G121eI101B	B11	77495.46474	28977.7598	5140	full_ulv2
M300570	252	57.72381633606272	4.052961902928049	Caecum right	Positive	MSEB0006	G121eI101B	B11	74950.84104	28473.11156	4815	full_ulv2
M300571	251	56.66174430596065	4.017740147639605	Caecum right	Positive	MSEB0006	G121eI101B	B11	75619.94598	28632.39788	4815	full_ulv2
M300572	249	56.949761537082026	4.191364144443384	Caecum right	Positive	MSEB0006	G121eI101B	B11	76345.93288	29031.8104	4815	full_ulv2
M300573	178	34.56444236486824	3.5986335697109446	Caecum right	NegativeMebrane	MSEB0006	G121eI101M	B11	74609.41112	34469.3869	4815	full_ulv2
M300574	251	57.725467437022864	4.082744890437656	Caecum right	Positive	MSEB0006	G121eI101B	B11	76920.99698	29347.99236	4815	full_ulv2
M300575	135	59.86345593512406	4.655631974338839	Caecum right	NegativeReaction	MSEB0006	G121eI101R	B11	NA	NA	NA	full_ulv2
M300576	251	57.38981514600673	4.083745468002496	Caecum right	Positive	MSEB0006	G121eI101B	B11	77104.53212	29588.78606	4815	full_ulv2
M300577	252	57.842513196857965	4.079376033996142	Caecum right	Positive	MSEB0006	G121eI101B	B11	77418.89518	29907.91612	4815	full_ulv2
M300578	252	57.74312463579337	4.012409943657762	Caecum right	Positive	MSEB0006	G121eI101B	B12	76897.21194	30198.47874	5140	full_ulv2
M300579	221	38.829261927900674	3.3571557798515066	Caecum right	NegativeMebrane	MSEB0006	G121eI101M	B12	73304.2851	36352.33102	5140	full_ulv2
M300580	250	55.87123946620734	4.042301277204144	Caecum right	Positive	MSEB0006	G121eI101B	B12	77026.94014	30039.53134	5140	full_ulv2
M300581	252	56.693254088951356	4.077548981124633	Caecum right	Positive	MSEB0006	G121eI101B	B12	77028.59698	29718.1991	5140	full_ulv2
M300582	251	55.90853310259901	4.078588555433206	Caecum right	Positive	MSEB0006	G121eI101B	B12	77019.21278	29448.2447	5140	full_ulv2
M300583	252	51.0290881990534	4.100996225487134	Caecum right	Positive	MSEB0006	G121eI101B	B12	77009.20244	28923.10328	5140	full_ulv2
M300584	252	57.68473889777653	4.05839833233992	Caecum right	Positive	MSEB0006	G121eI101B	B12	77019.41278	28061.84066	5140	full_ulv2
M300585	85	36.312173927465636	5.379855358872405	Caecum right	NegativeCollection	MSEB0006	G121eI101Z	B12	NA	NA	NA	full_ulv2
M300586	48	21.091967343153406	4.510739056307811	Caecum right	NegativeMebrane	MSEB0006	G121eI101M	B12	73652.53888	35857.69264	5141	full_ulv2
M300587	8	3.4918486042041033	1.5923924352002712	Caecum right	NegativeReaction	MSEB0006	G121eI101R	B12	NA	NA	NA	full_ulv2
M300588	252	54.76477347727174	4.072549257451249	Caecum right	Positive	MSEB0006	G121eI101B	B12	75330.01734	26890.36198	5141	full_ulv2
M300589	253	54.565427871329916	4.052600352454979	Caecum right	Positive	MSEB0006	G121eI101B	B12	75862.86558	27323.96416	5141	full_ulv2
M300590	252	53.69511166884415	4.232105123876776	Caecum right	Positive	MSEB0006	G121eI101B	B12	76508.23134	27653.83552	5141	full_ulv2
M300591	193	44.66979152559806	3.3080274655621618	Caecum right	Positive	MSEB0006	G121eI101B	B12	76848.92556	27815.44156	5141	full_ulv2
M300592	251	52.703788674593405	4.157326246900403	Caecum right	Positive	MSEB0006	G121eI101B	B12	77351.46416	28017.2736	5141	full_ulv2
M300593	253	54.697581580852834	4.15923911576908	Caecum right	Positive	MSEB0006	G121eI101B	B12	77854.21644	28261.4887	5141	full_ulv2
M300594	252	57.26768502990478	4.154592003927514	Caecum right	Positive	MSEB0006	G121eI101B	B12	75509.65016	26477.81882	4976	full_ulv2
M300595	251	49.30318799017308	4.159722029254379	Caecum right	Positive	MSEB0006	G121eI101B	B12	75650.54014	26591.91336	4976	full_ulv2
M300596	252	51.53754965801006	4.129928201272733	Caecum right	Positive	MSEB0006	G121eI101B	B12	75822.8379	26598.11002	4976	full_ulv2
M300597	251	52.894386397981386	4.187497384973694	Caecum right	Positive	MSEB0006	G121eI101B	B12	76147.10238	26625.27964	4976	full_ulv2
