microsample	quality
M300554	5
M300555	2
M300556	2
M300557	3
M300558	0
M300559	5
M300560	5
M300561	5
M300562	5
M300563	5
M300564	2
M300565	0
M300566	5
M300567	5
M300568	1
M300569	5
M300570	5
M300571	5
M300572	3
M300573	0
M300574	5
M300575	1
M300576	5
M300577	5
M300578	5
M300579	0
M300580	5
M300581	4
M300582	4
M300583	5
M300584	5
M300585	0
M300586	0
M300587	0
M300588	4
M300589	5
M300590	5
M300591	0
M300592	5
M300593	5
M300594	5
M300595	5
M300596	5
M300597	5
M300598	5
M300599	5
M300600	0
M300601	1
M300602	3
M300603	1
M300604	1
M300605	0
M300606	0
M300607	0
M300608	3
M300609	3
M300610	2
M300611	0
M300612	3
M300613	0
M300614	0
M300615	1
M300616	1
M300617	2
M300618	1
M300619	2
M300620	0
M300621	1
M300622	2
M300623	3
M300624	0
M300625	0
M300626	0
M300627	0
M300628	3
M300629	4
M300630	4
M300631	2
M300632	0
M300633	3
M300634	3
M300635	0
M300636	2
M300637	1
M300638	3
M300639	4
M300640	4
M300641	0
M300642	2
M300643	0
M300644	4
M300645	3
M300646	0
M300647	4
M300648	4
M300649	0
M300650	0
M300651	5
M300652	5
M300653	0
M300654	5
M300655	0
M300656	2
M300657	3
M300658	5
M300659	5
M300660	0
M300661	5
M300662	5
M300663	0
M300664	2
M300665	2
M300666	5
M300667	0
M300668	4
M300669	5
M300670	5
M300671	5
M300672	5
M300673	5
M300674	5
M300675	5
M300676	4
M300677	3
M300678	4
M300679	5
M300680	4
M300681	1
M300682	2
M300683	5
M300684	5
M300685	3
M300686	1
M300687	5
M300688	5
M300689	5
M300690	5
M300691	5
M300692	5
M300693	1
M300694	5
M300695	5
M300696	5
M300697	5
M300698	4
M300699	5
M300700	5
M300701	4
M300702	0
M300703	NA
NA	4
